variante,agente,capas,universo,benchmark,ventana_desde,ventana_hasta,meses,rebalanceos,cagr,cagr_benchmark,retorno_total,retorno_total_benchmark,volatilidad_anual,sharpe,sharpe_benchmark,max_drawdown,max_drawdown_benchmark,retorno_activo_medio,tracking_error,information_ratio,beta,alpha_anual,t_stat,p_valor,bootstrap_p_valor,deflated_sharpe,sharpe_esperado_por_azar,configuraciones_probadas,control_percentil,control_cagr_mediano,control_n_carteras,n_operaciones,hit_rate,retorno_medio_operacion,posiciones_medias,mercado_amplio,cagr_mercado_amplio,tickers_universo,tickers_con_datos,sesgo_supervivencia_pct,generado
Peter · cascada,Peter,lynch+tecnico,large_cap,SPY,2024-04-30,2026-08-26,28,29,0.1405916426510001,0.21236908451322534,0.35926384484822904,0.5672850502334681,0.13279730973502996,0.7209308743718298,1.3061422458186085,0.11932038379197203,0.0757898363515297,-0.005011139480613598,0.14000260329766784,-0.42951825431066737,0.43098964737945494,0.054164206424811415,-0.6856890454066967,0.4929090701902994,0.7492507492507493,0.6236047264818103,0.5044684201073918,19,1.5,0.18669923982298198,200,116,0.5603448275862069,0.05352924343676196,15.482758620689655,,,443,424,8.933333333333334,2026-08-27T02:57:36.538Z
Peter · solo Lynch,Peter,lynch,large_cap,SPY,2024-04-30,2026-08-26,28,29,0.16673833299863094,0.21236908451322534,0.4330832583037456,0.5672850502334681,0.11613069641545543,1.0043359823853257,1.3061422458186085,0.06836286240705212,0.0757898363515297,-0.0032697597766130457,0.10961630010869625,-0.3579496596806201,0.551631470668005,0.050827276432904786,-0.6561320148064707,0.5117390496756145,0.6103896103896104,0.8470935440200054,0.3112603037830085,19,24.5,0.17427819020100332,200,441,0.46938775510204084,0.03429280282978469,40.793103448275865,,,443,424,8.933333333333334,2026-08-27T02:59:09.026Z
Small · cascada,Small,lynch+tecnico,small_cap,IJR,2024-04-30,2026-08-26,28,29,0.1832388387777082,0.17572976143848762,0.4808201156717624,0.45898511341214143,0.17315293632430612,0.8008923702371298,0.7508285561441995,0.13568621937614186,0.19883400827206507,0.0004916991360062594,0.092044547199375,0.064103630379043,0.8439097330137965,0.03364956722763526,0.09505890553261405,0.9242679152996534,0.3596403596403596,0.8148946949575895,0.2024333251348087,19,53.5,0.18202666310374338,200,214,0.48598130841121495,0.04281377986702496,27.03448275862069,SPY,0.21236908451322534,307,259,8.933333333333334,2026-08-27T02:59:58.327Z
Small · solo Lynch,Small,lynch,small_cap,IJR,2024-04-30,2026-08-26,28,29,0.22055413096374532,0.17572976143848762,0.5920856874946547,0.45898511341214143,0.18179355815742582,0.943201826240399,0.7508285561441995,0.13893261784538624,0.19883400827206507,0.0032242950082172527,0.06844971032936605,0.5652549866527006,0.9534920188448999,0.0469595650921059,0.8180011153013843,0.41335642926120686,0.11888111888111888,0.8862504104824395,0.16681085044910113,19,99.5,0.19180835379078987,200,793,0.4842370744010088,0.05458170904706251,78.65517241379311,SPY,0.21236908451322534,307,259,8.933333333333334,2026-08-27T03:01:36.663Z
